,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1813,TRRAP_code_potential_somatic,ENSG00000281306,1813,1.0,1.4595195920634019,0.5686354592080978,2.928966155671868e-48,2.5713177040848736,1.3250469001744491,0.5
835,TRRAP_code_potential_somatic,ENSG00000152284,835,-1.0,1.7423909933670751,0.5134336947420332,3.4694159806059647e-38,-2.719417688104831,1.4614619991486437,1.0
832,TRRAP_code_potential_somatic,ENSG00000152284,832,-1.0,1.7423909933670751,0.2787978302498419,3.057707982116084e-11,-2.6147107871537423,1.3596037032042418,1.0
1538,TRRAP_code_potential_somatic,ENSG00000113916,1538,-1.0,1.3636379718851113,0.6841581243819654,7.158883160947051e-77,-2.608869104765228,1.3905663466032896,1.0
373,TRRAP_code_potential_somatic,ENSG00000112561,373,-1.0,1.6040254935673954,0.2876538491743777,6.694548646296452e-12,-2.9602488444799566,1.5820514038649207,1.0
488,TRRAP_code_potential_somatic,ENSG00000068305,488,-1.0,1.4952123159113722,0.3900440117525096,2.3496648122085002e-21,-3.276992669243087,1.72382279291194,1.0
490,TRRAP_code_potential_somatic,ENSG00000068305,490,-1.0,1.4952123159113722,0.21440337959390943,4.0492010423748867e-07,-2.62757131626229,1.4102731140193274,1.0
1794,TRRAP_code_potential_somatic,ENSG00000147421,1794,-1.0,1.3801630669977,0.41206512808924306,7.105661105142054e-24,-3.271876852563186,1.7242255351710936,1.0
1798,TRRAP_code_potential_somatic,ENSG00000147421,1798,-1.0,1.3801630669977,0.5141627394287974,2.6240212468825756e-38,-2.8866206072296903,1.4947031078955113,1.0
697,TRRAP_code_potential_somatic,ENSG00000188786,697,-1.0,1.3083679260250307,0.48189970465596177,3.28186069069828e-33,-2.608869104765228,1.3905663466032896,1.0
686,TRRAP_code_potential_somatic,ENSG00000188786,686,-1.0,1.3083679260250307,0.38035270508173613,2.637218332487282e-20,-3.1906261693709994,1.6866929363652219,1.0
696,TRRAP_code_potential_somatic,ENSG00000188786,696,-1.0,1.3083679260250307,0.41171431452772844,7.820438187644113e-24,-2.845497225107463,1.521825847130714,1.0
687,TRRAP_code_potential_somatic,ENSG00000188786,687,-1.0,1.3083679260250307,0.44071640927334926,1.9109356709615284e-27,-2.5301987059280857,1.3385334425551703,1.0
