,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3242,WDFY3_code_potential_somatic,ENSG00000025434,3242,1.0,4.089558282238754,0.5289986310906277,7.68889182432963e-41,4.996392398708185,1.9487005023680708,1.0
460,WDFY3_code_potential_somatic,ENSG00000172216,460,1.0,2.432209630057374,0.7538666239069344,1.1372637327826006e-101,4.985495585795666,1.9539344918330217,1.0
473,WDFY3_code_potential_somatic,ENSG00000172216,473,1.0,2.432209630057374,0.5345396040510034,8.07633152170066e-42,5.2291552116499345,1.9338715808504314,1.0
478,WDFY3_code_potential_somatic,ENSG00000172216,478,1.0,2.432209630057374,0.5755761863000123,1.1527766325315883e-49,5.41676477692907,1.973855779850024,1.0
458,WDFY3_code_potential_somatic,ENSG00000172216,458,1.0,2.432209630057374,0.6437152490583052,1.92593106774297e-65,10.182056856081333,3.1955515648605077,1.0
104,WDFY3_code_potential_somatic,ENSG00000057657,104,1.0,3.292583696834503,0.40473180481873894,5.1473728401887207e-23,4.564726301645473,1.808458520176407,1.0
108,WDFY3_code_potential_somatic,ENSG00000057657,108,1.0,3.292583696834503,0.3942166586929683,8.09091190283462e-22,3.501631869228095,1.4418901517999774,1.0
112,WDFY3_code_potential_somatic,ENSG00000057657,112,1.0,3.292583696834503,0.3249913208097778,6.031360266616106e-15,5.78113501061818,2.1160507591493896,1.0
114,WDFY3_code_potential_somatic,ENSG00000057657,114,1.0,3.292583696834503,0.28656261555391105,8.096012626668552e-12,3.4813927637775945,1.4462813798975103,1.0
113,WDFY3_code_potential_somatic,ENSG00000057657,113,1.0,3.292583696834503,0.48237695985448864,2.783612097846488e-33,6.585394310614424,2.432209630057374,1.0
102,WDFY3_code_potential_somatic,ENSG00000057657,102,1.0,3.292583696834503,0.30242411368896976,4.708304193405162e-13,3.8096668159718328,1.5607126012195138,1.0
99,WDFY3_code_potential_somatic,ENSG00000057657,99,1.0,3.292583696834503,0.36249089149885627,1.847643746754883e-18,4.204435269353101,1.6910359953106484,1.0
109,WDFY3_code_potential_somatic,ENSG00000057657,109,1.0,3.292583696834503,0.38778133355384053,4.162238320481003e-21,8.089638133617314,3.6626153264740906,1.0
1643,WDFY3_code_potential_somatic,ENSG00000138795,1643,1.0,1.3255791637721634,0.33823145192698445,3.924605756681095e-16,7.225949185996493,2.5298992860380674,1.0
40,WDFY3_code_potential_somatic,ENSG00000125347,40,1.0,2.8384836731339607,0.7218787127191317,2.3911038311816783e-89,4.528391356770018,1.7970615198409394,1.0
48,WDFY3_code_potential_somatic,ENSG00000125347,48,1.0,2.8384836731339607,0.28441310772470174,1.1744481038422287e-11,3.434899871427083,1.4978320842291573,1.0
38,WDFY3_code_potential_somatic,ENSG00000125347,38,1.0,2.8384836731339607,0.6131852084868735,6.766775269528658e-58,4.594872110061839,1.8242349658654888,1.0
35,WDFY3_code_potential_somatic,ENSG00000125347,35,1.0,2.8384836731339607,0.5707869358517241,1.083363300896522e-48,8.416876703390407,2.736525189510151,1.0
46,WDFY3_code_potential_somatic,ENSG00000125347,46,1.0,2.8384836731339607,0.6852481912975924,3.3187208614625384e-77,3.7929879820371615,1.55219678030251,1.0
1617,WDFY3_code_potential_somatic,ENSG00000181690,1617,1.0,3.1259343144489344,0.2690086662106309,1.540364797078522e-10,4.335752161183744,1.753295944608839,1.0
