,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1238,WNT2_code_potential_somatic,ENSG00000151702,1238,-1.0,1.3853133873314565,0.6335156236726455,7.943540603589842e-63,-3.183131560663045,1.4023021557434525,1.0
1237,WNT2_code_potential_somatic,ENSG00000151702,1237,-1.0,1.3853133873314565,0.5182766865320042,5.358163944525927e-39,-4.721201007699536,2.8812095794366854,1.0
1244,WNT2_code_potential_somatic,ENSG00000151702,1244,-1.0,1.3853133873314565,0.38109312514068827,2.1985979843151025e-20,-3.5446040714469866,1.5518208430876501,1.0
2188,WNT2_code_potential_somatic,ENSG00000132170,2188,-1.0,1.5026687406539916,0.38661812882856933,5.574890332489311e-21,-3.1995509391078087,1.3797558966317442,1.0
2197,WNT2_code_potential_somatic,ENSG00000132170,2197,-1.0,1.5026687406539916,0.4633611293469509,1.616432207712841e-30,-3.248147724052342,1.4560264643064857,1.0
3105,WNT2_code_potential_somatic,ENSG00000184486,3105,1.0,1.4471160807528238,-0.3063553985656969,2.2632284740381152e-13,-5.045769258251824,2.224264766507998,1.0
3104,WNT2_code_potential_somatic,ENSG00000184486,3104,1.0,1.4471160807528238,0.5073930075149646,3.4200584568360427e-37,2.6523183126426657,2.021118816009775,1.0
1487,WNT2_code_potential_somatic,ENSG00000129194,1487,1.0,1.5640009851614955,-0.3026482668563146,4.5170402107734806e-13,-3.935866972061718,1.742370066449494,1.0
1490,WNT2_code_potential_somatic,ENSG00000129194,1490,1.0,1.5640009851614955,-0.17995838801350786,2.2577758337536196e-05,-4.4089905679608785,1.8746717750516237,1.0
1548,WNT2_code_potential_somatic,ENSG00000123364,1548,1.0,2.3783843192541747,0.45285051907844587,4.607026336387008e-29,5.2460094196546905,2.5491342540685586,1.0
1253,WNT2_code_potential_somatic,ENSG00000089220,1253,-1.0,1.5076602811209079,0.2657955610818475,2.582430391060707e-10,-7.151589422137617,3.310110987095896,1.0
3376,WNT2_code_potential_somatic,ENSG00000137273,3376,-1.0,1.6652850352414241,0.4518914728241265,6.218274453371455e-29,-7.526250832504001,3.0853568759370185,1.0
1206,WNT2_code_potential_somatic,ENSG00000172059,1206,-1.0,3.6372495909912246,0.27754427881853927,3.7747665833542725e-11,-3.2243699438103106,1.3882990588935367,1.0
