,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,YEATS2_code_potential_somatic,ENSG00000185811,1596,-1.0,9.283587898674922,0.29259323995173636,2.8027125371516682e-12,-5.297603888595815,1.8479448186396283,1.0
1590,YEATS2_code_potential_somatic,ENSG00000185811,1590,-1.0,9.283587898674922,0.5350057755535523,6.668825680741697e-42,-3.434378322703218,1.3553122668235786,1.0
1598,YEATS2_code_potential_somatic,ENSG00000185811,1598,-1.0,9.283587898674922,0.3618397243601481,2.14655430087964e-18,-3.6093337233778047,1.5425607851748955,1.0
221,YEATS2_code_potential_somatic,ENSG00000020633,221,-1.0,8.157096087987254,0.6379715611320159,5.8828214436437776e-64,-9.721292522610671,11.421613409147925,1.0
230,YEATS2_code_potential_somatic,ENSG00000020633,230,-1.0,8.157096087987254,0.4287268399062932,6.561586503023197e-26,-7.923379142453955,5.053277591078455,1.0
344,YEATS2_code_potential_somatic,ENSG00000159216,344,-1.0,8.778475859349232,0.46056329822208036,3.988216844167444e-30,-7.914768713540932,5.151961482514503,1.0
346,YEATS2_code_potential_somatic,ENSG00000159216,346,-1.0,8.778475859349232,0.6165858614186533,1.0733277171175652e-58,-3.5877953901496267,1.5572975116299406,1.0
2186,YEATS2_code_potential_somatic,ENSG00000132170,2186,-1.0,7.469151118861417,0.45265675827997665,4.895182796667773e-29,-5.096897823378147,2.1509068393816366,1.0
2195,YEATS2_code_potential_somatic,ENSG00000132170,2195,-1.0,7.469151118861417,0.4387491990753573,3.447069013165574e-27,-4.452512065959794,2.306999395441836,1.0
2191,YEATS2_code_potential_somatic,ENSG00000132170,2191,-1.0,7.469151118861417,0.41826857064146233,1.2803951378042436e-24,-3.3628189714950842,1.3434797224015906,1.0
2113,YEATS2_code_potential_somatic,ENSG00000069667,2113,-1.0,1.9346462110345404,0.22245043455015545,1.4280152349632248e-07,-10.54841922041595,7.409204161119736,1.0
3405,YEATS2_code_potential_somatic,ENSG00000170345,3405,-1.0,2.048393138632347,0.3205029343720507,1.4781030440049208e-14,-4.0737818666470735,1.3268116899882663,1.0
3404,YEATS2_code_potential_somatic,ENSG00000170345,3404,-1.0,2.048393138632347,0.43853700463262035,3.6727014873598426e-27,-3.789598853659483,1.35182175399961,1.0
160,YEATS2_code_potential_somatic,ENSG00000178573,160,-1.0,9.553630015062401,0.2950522891587526,1.8053731169837242e-12,-7.538296134058189,3.0412487614598605,1.0
168,YEATS2_code_potential_somatic,ENSG00000178573,168,-1.0,9.553630015062401,0.40599315858865764,3.674343874134727e-23,-6.521240299220176,2.120820850399086,1.0
162,YEATS2_code_potential_somatic,ENSG00000178573,162,-1.0,9.553630015062401,0.2684168551806471,1.6950426323978102e-10,-6.095333251835651,2.2034689931001368,1.0
154,YEATS2_code_potential_somatic,ENSG00000178573,154,-1.0,9.553630015062401,0.6056710459662019,3.657733594393192e-56,-6.55283181415354,2.9062682924917462,1.0
1771,YEATS2_code_potential_somatic,ENSG00000116017,1771,-1.0,2.376199005964187,0.46214119359884476,2.3989609470655692e-30,-3.2606447420196014,1.464149212562152,1.0
1768,YEATS2_code_potential_somatic,ENSG00000116017,1768,-1.0,2.376199005964187,0.33234491557687323,1.3442560533141814e-15,-8.72880858811807,3.4983789748993397,1.0
1769,YEATS2_code_potential_somatic,ENSG00000116017,1769,-1.0,2.376199005964187,0.14437133823305617,0.0006996825524629589,-6.999591939881308,2.6669513229439494,1.0
3326,YEATS2_code_potential_somatic,ENSG00000128604,3326,-1.0,6.86618433332113,0.3469964678740166,5.973014440631016e-17,-10.673808401960526,4.697933814830918,0.5
427,YEATS2_code_potential_somatic,ENSG00000162367,427,-1.0,8.131807345526155,0.21193229874323286,5.532397045538258e-07,-8.161104640539175,4.911903159541349,1.0
623,YEATS2_code_potential_somatic,ENSG00000140968,623,-1.0,5.779623796221825,0.7002585782520239,5.881945624895939e-82,-6.390105742711143,2.619327637182664,1.0
632,YEATS2_code_potential_somatic,ENSG00000140968,632,-1.0,5.779623796221825,0.4433930489329865,8.510373298026734e-28,-6.343071055493465,2.0766361702771254,1.0
299,YEATS2_code_potential_somatic,ENSG00000245848,299,-1.0,9.205048535221476,0.2249880904957526,1.0195340044588159e-07,-7.528855551420048,3.9162657939676744,1.0
290,YEATS2_code_potential_somatic,ENSG00000245848,290,-1.0,9.205048535221476,0.6844355813766781,5.888470078524959e-77,-10.420334606002983,14.513658726156958,1.0
305,YEATS2_code_potential_somatic,ENSG00000245848,305,-1.0,9.205048535221476,0.3969440500131364,3.997363490886792e-22,-3.7764027552615858,1.4263388483174053,1.0
294,YEATS2_code_potential_somatic,ENSG00000245848,294,-1.0,9.205048535221476,0.691993932843157,2.6408163646011318e-79,-3.51408079218706,1.3254567932981434,1.0
292,YEATS2_code_potential_somatic,ENSG00000245848,292,-1.0,9.205048535221476,0.3267720769905607,4.2088214454253705e-15,-3.5764975656871543,1.32908011035812,1.0
481,YEATS2_code_potential_somatic,ENSG00000068305,481,-1.0,2.700115582428995,0.5146760166392528,2.1547596567219488e-38,-3.8592019142010927,1.3170938572108157,1.0
485,YEATS2_code_potential_somatic,ENSG00000068305,485,-1.0,2.700115582428995,0.3344279212302144,8.721476412220345e-16,-4.083050678420961,1.7295720909474528,1.0
480,YEATS2_code_potential_somatic,ENSG00000068305,480,-1.0,2.700115582428995,0.4766894925176667,1.9477499480863967e-32,-9.839258289135799,13.752226619977405,1.0
3505,YEATS2_code_potential_somatic,ENSG00000149948,3505,-1.0,2.273384237329925,0.30313028389722696,4.131155459913165e-13,-4.565962369237082,1.693366095574784,1.0
3506,YEATS2_code_potential_somatic,ENSG00000149948,3506,-1.0,2.273384237329925,0.32392738253541986,7.46932481663449e-15,-4.675817944854899,1.7818025430363809,1.0
1836,YEATS2_code_potential_somatic,ENSG00000112658,1836,-1.0,2.790594459504596,0.29003888554311974,4.4060639122425826e-12,-3.4453318422803667,1.3895297907791695,1.0
1839,YEATS2_code_potential_somatic,ENSG00000112658,1839,-1.0,2.790594459504596,0.43930433182194023,2.919581539654522e-27,-10.26971805452875,4.041088512772025,1.0
317,YEATS2_code_potential_somatic,ENSG00000162924,317,-1.0,9.315351091813449,0.5970365551231214,3.1492219113434006e-54,-8.410306123888116,5.233926978719561,1.0
319,YEATS2_code_potential_somatic,ENSG00000162924,319,-1.0,9.315351091813449,0.3231203637610685,8.779667019818756e-15,-7.219069011478349,7.554856709063835,1.0
617,YEATS2_code_potential_somatic,ENSG00000066336,617,-1.0,8.79500806061145,0.33949338904932297,3.003812165593969e-16,-5.009134795403621,2.662514884327957,1.0
621,YEATS2_code_potential_somatic,ENSG00000066336,621,-1.0,8.79500806061145,0.43686314778278323,6.046663523089748e-27,-10.26971805452875,4.041088512772025,1.0
616,YEATS2_code_potential_somatic,ENSG00000066336,616,-1.0,8.79500806061145,0.5667760233696814,6.878143025072535e-48,-4.139703086413125,1.4985484953341994,1.0
603,YEATS2_code_potential_somatic,ENSG00000066336,603,-1.0,8.79500806061145,0.5135066137945201,3.373946865995372e-38,-7.39681871184802,3.9215638275667986,1.0
598,YEATS2_code_potential_somatic,ENSG00000066336,598,-1.0,8.79500806061145,0.842991717051909,3.817184459638388e-149,-8.937618645779505,8.384175249623272,1.0
606,YEATS2_code_potential_somatic,ENSG00000066336,606,-1.0,8.79500806061145,0.4534140226400533,3.8609801694562346e-29,-4.069737430609625,1.7196783100945592,1.0
446,YEATS2_code_potential_somatic,ENSG00000204103,446,-1.0,7.696984150116987,0.5220185277103702,1.2394579270644001e-39,-9.086251680316089,12.541184734166345,1.0
440,YEATS2_code_potential_somatic,ENSG00000204103,440,-1.0,7.696984150116987,0.8036235227238009,3.706046125832496e-125,-8.966341262296716,9.553630015062401,1.0
436,YEATS2_code_potential_somatic,ENSG00000204103,436,-1.0,7.696984150116987,0.8007476682127695,1.2734137710494504e-123,-9.495627147138077,9.6986516931572,1.0
438,YEATS2_code_potential_somatic,ENSG00000204103,438,-1.0,7.696984150116987,0.4276484400390642,8.9569074293927e-26,-10.741322618495506,3.4160942603859654,1.0
442,YEATS2_code_potential_somatic,ENSG00000204103,442,-1.0,7.696984150116987,0.513126195097696,3.9023510511196566e-38,-7.138624790029885,3.728506079544023,1.0
