,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1316,ZFP57_code_potential_somatic,ENSG00000125952,1316,-1.0,1.4558398984738938,0.41974138966359315,8.47913416258375e-25,-4.2230387403181275,1.3995394008037403,1.0
960,ZFP57_code_potential_somatic,ENSG00000101412,960,1.0,7.5061016241648515,0.6491518019355196,7.070099083657812e-67,5.289313509960936,1.6258060025235643,1.0
963,ZFP57_code_potential_somatic,ENSG00000101412,963,1.0,7.5061016241648515,0.6513661348023898,1.8046161375597924e-67,8.415839940378257,3.3751788449485596,1.0
959,ZFP57_code_potential_somatic,ENSG00000101412,959,1.0,7.5061016241648515,0.7769628587535349,8.154332160431679e-112,4.998947178835756,1.6148702929002736,1.0
3068,ZFP57_code_potential_somatic,ENSG00000111206,3068,1.0,1.6148702929002736,-0.28459015518413994,1.1391442020903926e-11,-4.340632968240529,1.4604237457472746,1.0
2099,ZFP57_code_potential_somatic,ENSG00000105856,2099,-1.0,1.5684464265844476,0.3573815993292031,5.9375185629319885e-18,-5.121215369747663,1.8263286614408087,1.0
160,ZFP57_code_potential_somatic,ENSG00000178573,160,-1.0,1.4056852391580594,0.2950522891587526,1.8053731169837242e-12,-5.599131689665236,1.853348352204447,1.0
3302,ZFP57_code_potential_somatic,ENSG00000006704,3302,1.0,2.607632466260444,0.560984427625908,9.491054619532947e-47,10.637742582972672,2.668567350237033,1.0
1887,ZFP57_code_potential_somatic,ENSG00000185697,1887,1.0,2.1280478199352775,0.4812984870682071,4.036880256481482e-33,3.8796412848104453,1.3332875577963166,1.0
948,ZFP57_code_potential_somatic,ENSG00000001167,948,1.0,1.5336519332138097,0.33278359659663453,1.2275265310019254e-15,8.533124701640288,2.530899243220605,1.0
946,ZFP57_code_potential_somatic,ENSG00000001167,946,1.0,1.5336519332138097,0.3569742005829587,6.510849095546955e-18,4.901996314638651,1.5304419869409438,1.0
949,ZFP57_code_potential_somatic,ENSG00000001167,949,1.0,1.5336519332138097,0.3478501312214809,4.9565070544709605e-17,4.2900217569245065,1.3688629492301887,1.0
627,ZFP57_code_potential_somatic,ENSG00000140968,627,-1.0,1.4619504391315166,0.3184797952608012,2.203226298999811e-14,-4.4225625641833055,1.4515918264632806,1.0
629,ZFP57_code_potential_somatic,ENSG00000140968,629,-1.0,1.4619504391315166,0.34835093927396105,4.4415081887138086e-17,-12.972805414033889,5.762260112570204,1.0
916,ZFP57_code_potential_somatic,ENSG00000101057,916,1.0,2.3483196284383077,0.8137042900539069,9.46897652452271e-131,6.94444995594092,2.0377400857984704,1.0
131,ZFP57_code_potential_somatic,ENSG00000105967,131,-1.0,1.4541446842657455,-0.3725669920096032,1.7366177483631867e-19,7.6063506555986,2.1694147060921,1.0
