,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
367,ZNF658_code_potential_somatic,ENSG00000163497,367,1.0,1.5939723623749893,-0.2748689275683561,5.896715648202729e-11,-4.189024977714873,1.590262026864275,1.0
1412,ZNF658_code_potential_somatic,ENSG00000170689,1412,-1.0,1.583690293389383,-0.12531776511230677,0.0032979717084882813,8.174503268827896,3.48681856018039,0.5
1491,ZNF658_code_potential_somatic,ENSG00000129194,1491,-1.0,1.3341106706762582,-0.2818553261206182,1.8208992676878206e-11,4.248018584960487,1.3648926452914094,0.6666666666666666
1496,ZNF658_code_potential_somatic,ENSG00000129194,1496,-1.0,1.3341106706762582,0.27506153091946484,5.711289813643518e-11,-3.7922504325812483,1.3415657785978976,0.6666666666666666
3545,ZNF658_code_potential_somatic,ENSG00000167157,3545,-1.0,3.488776584478509,0.15623982149578777,0.00024094113892140058,-4.2207891740972405,1.5901227351026315,1.0
3547,ZNF658_code_potential_somatic,ENSG00000167157,3547,-1.0,3.488776584478509,-0.2097524312342929,7.263508125129762e-07,4.376411367193737,1.5356291679701088,1.0
2886,ZNF658_code_potential_somatic,ENSG00000136535,2886,-1.0,1.772732098551205,-0.2780388838543881,3.47412398671553e-11,4.334067554753019,1.5597645313518065,1.0
125,ZNF658_code_potential_somatic,ENSG00000196843,125,1.0,3.262479154162382,0.41849826565679615,1.2008458094252178e-24,3.4828281504574474,1.929170377264859,0.3333333333333333
1253,ZNF658_code_potential_somatic,ENSG00000089220,1253,-1.0,1.542560693308884,0.2657955610818475,2.582430391060707e-10,-5.876151535472178,2.6046922002092185,1.0
546,ZNF658_code_potential_somatic,ENSG00000169136,546,1.0,2.2320000697033104,0.2601569495101918,6.289856342896742e-10,3.092454157208299,1.3714209041329224,1.0
