Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3589,A1CF_code_potential_somatic,ENSG00000100219,R-3589,-1,1.591061049,0.540203883,7.72E-43,-5.721889985,4.433247877,1
402,A1CF_code_potential_somatic,ENSG00000109320,R-402,-1,1.782604338,0.605988754,3.10E-56,-3.668070593,1.301979537,1
406,A1CF_code_potential_somatic,ENSG00000109320,R-406,-1,1.782604338,0.622676061,3.75E-60,-4.045870465,1.499415861,1
2954,A2BP1_code_potential_somatic,ENSG00000099326,R-2954,-1,1.31203787,0.226968718,7.82E-08,-4.518628664,4.195809776,1
572,A2BP1_code_potential_somatic,ENSG00000090447,R-572,-1,1.600284499,0.150380306,0.000411835,-12.51989111,6.406852251,1
2534,A2BP1_code_potential_somatic,ENSG00000177732,R-2534,-1,1.600284499,0.236734037,2.03E-08,-2.045325033,1.377686495,1
51,A2BP1_code_potential_somatic,ENSG00000125347,R-51,-1,1.528200648,0.235635658,2.37E-08,-4.582599662,1.445224113,1
49,A2BP1_code_potential_somatic,ENSG00000125347,R-49,-1,1.528200648,0.622341581,4.52E-60,-3.987685172,1.413911649,1
53,A2BP1_code_potential_somatic,ENSG00000125347,R-53,-1,1.528200648,0.5003526,4.65E-36,-6.749097867,2.62290888,1
1839,A2BP1_code_potential_somatic,ENSG00000112658,R-1839,-1,2.030150433,0.439304332,2.92E-27,-3.705140498,1.605141408,1
3077,A2BP1_code_potential_somatic,ENSG00000100968,R-3077,-1,1.566531506,0.273520824,7.37E-11,-5.249061116,2.354140265,1
2105,A2BP1_code_potential_somatic,ENSG00000183072,R-2105,-1,1.96272846,0.168701909,7.23E-05,-3.254771658,1.33283849,1
3532,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143437,R-3532,1,1.379472667,0.211102772,6.14E-07,2.933050351,2.392077647,1
3418,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100393,R-3418,1,1.327912255,0.457343339,1.12E-29,2.366726169,1.70478128,1
1238,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000151702,R-1238,1,1.313969203,0.633515624,7.94E-63,2.183994325,1.507167519,1
1240,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000151702,R-1240,1,1.313969203,-0.437957152,4.37E-27,-3.298025907,2.942055334,1
1242,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000151702,R-1242,1,1.313969203,0.562027316,5.94E-47,2.637461205,2.019663301,1
2604,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,R-2604,1,1.950818434,0.440940562,1.79E-27,2.315632484,1.648055914,1
2602,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,R-2602,1,1.950818434,0.400867241,1.43E-22,2.415254114,1.759922649,1
2599,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,R-2599,1,1.950818434,0.32999087,2.18E-15,2.529501968,1.892605146,1
366,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,R-366,-1,2.716917529,0.289401873,4.93E-12,-3.128027698,2.694503078,1
364,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,R-364,-1,2.716917529,-0.29843019,9.80E-13,2.052741054,1.376511631,1
363,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,R-363,-1,2.716917529,-0.265674931,2.63E-10,2.512260851,1.874119472,1
