Regulon_ID,Regulator,Gene,Entrez_gene,IfCoexpDiseaseRelevantMutSig,GeneSymbol
0,ENSG00000147862,ENSG00000137767,58472,yes,SQRDL
0,ENSG00000147862,ENSG00000124357,55577,yes,NAGK
0,ENSG00000147862,ENSG00000136404,53346,yes,TM6SF1
0,ENSG00000147862,ENSG00000093072,51816,yes,CECR1
0,ENSG00000147862,ENSG00000110446,51296,yes,SLC15A3
0,ENSG00000147862,ENSG00000099785,51257,yes,43892
0,ENSG00000147862,ENSG00000129450,27180,yes,SIGLEC9
0,ENSG00000147862,ENSG00000136305,27141,yes,CIDEB
0,ENSG00000147862,ENSG00000134996,26578,yes,OSTF1
0,ENSG00000147862,ENSG00000162745,25903,yes,OLFML2B
0,ENSG00000147862,ENSG00000071073,11320,yes,MGAT4A
0,ENSG00000147862,ENSG00000102879,11151,yes,CORO1A
0,ENSG00000147862,ENSG00000130429,10095,yes,ARPC1B
0,ENSG00000147862,ENSG00000110031,9404,yes,LPXN
0,ENSG00000147862,ENSG00000099250,8829,yes,NRP1
0,ENSG00000147862,ENSG00000141655,8792,yes,TNFRSF11A
0,ENSG00000147862,ENSG00000111424,7421,yes,VDR
0,ENSG00000147862,ENSG00000165025,6850,yes,SYK
0,ENSG00000147862,ENSG00000057252,6646,yes,SOAT1
0,ENSG00000147862,ENSG00000160691,6464,yes,SHC1
0,ENSG00000147862,ENSG00000110876,6404,yes,SELPLG
0,ENSG00000147862,ENSG00000148908,6001,yes,RGS10
0,ENSG00000147862,ENSG00000128340,5880,yes,RAC2
0,ENSG00000147862,ENSG00000004799,5166,yes,PDK4
0,ENSG00000147862,ENSG00000065534,4638,yes,MYLK
0,ENSG00000147862,ENSG00000100060,4242,yes,MFNG
0,ENSG00000147862,ENSG00000254087,4067,yes,LYN
0,ENSG00000147862,ENSG00000054219,4065,yes,LY75
0,ENSG00000147862,ENSG00000129038,4016,yes,LOXL1
0,ENSG00000147862,ENSG00000161638,3678,yes,ITGA5
0,ENSG00000147862,ENSG00000115232,3676,yes,ITGA4
0,ENSG00000147862,ENSG00000131724,3597,yes,IL13RA1
0,ENSG00000147862,ENSG00000027697,3459,yes,IFNGR1
0,ENSG00000147862,ENSG00000090339,3383,yes,ICAM1
0,ENSG00000147862,ENSG00000180353,3059,yes,HCLS1
0,ENSG00000147862,ENSG00000000938,2268,yes,FGR
0,ENSG00000147862,ENSG00000106991,2022,yes,ENG
0,ENSG00000147862,ENSG00000101160,1522,yes,CTSZ
0,ENSG00000147862,ENSG00000119535,1441,yes,CSF3R
0,ENSG00000147862,ENSG00000105974,857,yes,CAV1
0,ENSG00000147862,ENSG00000184922,752,yes,FMNL1
0,ENSG00000147862,ENSG00000197405,728,yes,C5AR1
0,ENSG00000147862,ENSG00000006534,221,yes,ALDH3B1
0,ENSG00000147862,ENSG00000282608,140,yes,ADORA3
0,ENSG00000147862,ENSG00000121281,113,yes,ADCY7
4,ENSG00000126351,ENSG00000075420,64778,yes,FNDC3B
4,ENSG00000126351,ENSG00000118855,64747,yes,MFSD1
4,ENSG00000126351,ENSG00000124357,55577,yes,NAGK
4,ENSG00000126351,ENSG00000070540,55062,yes,WIPI1
4,ENSG00000126351,ENSG00000095970,54209,yes,TREM2
4,ENSG00000126351,ENSG00000099785,51257,yes,43892
4,ENSG00000126351,ENSG00000023892,50619,yes,DEF6
4,ENSG00000126351,ENSG00000085514,29992,yes,PILRA
4,ENSG00000126351,ENSG00000196511,27010,yes,TPK1
4,ENSG00000126351,ENSG00000101347,25939,yes,SAMHD1
4,ENSG00000126351,ENSG00000004399,23129,yes,PLXND1
4,ENSG00000126351,ENSG00000137491,11309,yes,SLCO2B1
4,ENSG00000126351,ENSG00000102879,11151,yes,CORO1A
4,ENSG00000126351,ENSG00000139278,11010,yes,GLIPR1
4,ENSG00000126351,ENSG00000154734,9510,yes,ADAMTS1
4,ENSG00000126351,ENSG00000131370,9467,yes,SH3BP5
4,ENSG00000126351,ENSG00000112799,9450,yes,LY86
4,ENSG00000126351,ENSG00000177575,9332,yes,CD163
4,ENSG00000126351,ENSG00000124831,9208,yes,LRRFIP1
