MutationSymbol,MutationGeneID,RegulatorSymbol,RegulonRegulator,RegulatorType,Regulon,MutationRegulatorEdge,MutationRegulonEdge,SpearmanCorrelationTFAndEigenGene,RMST_diff_UnderActiveMinusOverActiveMGMTUnMeth,RMST_diff_UnderActiveMinusOverActiveMGMTMeth,Cox_HR_Training,IfCancerDriverMutation,IfDETFForTCGAGBM,IfCRISPR-Cas9SignificantTF,RNAiTFGeneEssentialityAchilles,Drug,DrugMechOfAction,TargetSymbol,DrugTarget,Miner_Target_Type,DrugTrialPhaseGBM,Cancer_PhaseIV
ATRX,ENSG00000085224,hsa-mir-20b,hsa-mir-20b,miRNA,2388,1,-7.287713237,-0.377067606,530.0752137,-131,3.525170683,yes,#N/A,#N/A,,CAFFEINE,Adenosine receptor antagonist,ADORA1,ENSG00000163485,RegulonGene,#N/A,AntiCancerPhaseIV
GPR98,,ELF1,ENSG00000120690,TF,519,-1,-3.243824198,0.408372024,334.2444444,387.6666667,2.516789636,,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,ADORA1,ENSG00000163485,RegulonGene,#N/A,AntiCancerPhaseIV
SEMA3C,ENSG00000075223,ELF1,ENSG00000120690,TF,519,-1,-4.31670568,0.408372024,334.2444444,387.6666667,2.516789636,,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,ADORA1,ENSG00000163485,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,ELF1,ENSG00000120690,TF,519,-1,-6.650590276,0.408372024,334.2444444,387.6666667,2.516789636,yes,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,ADORA1,ENSG00000163485,RegulonGene,#N/A,AntiCancerPhaseIV
GPR98,,NFKB1,ENSG00000109320,TF,416,-1,-2.689790982,0.361032258,283.7193676,23.1,2.475822902,,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,#N/A,AntiCancerPhaseIV
GPR98,,NFKB1,ENSG00000109320,TF,416,-1,-2.689790982,0.361032258,283.7193676,23.1,2.475822902,,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,Phase 1,#N/A
IDH1,ENSG00000138413,NFKB1,ENSG00000109320,TF,416,-1,-6.099677054,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,#N/A,AntiCancerPhaseIV
IDH1,ENSG00000138413,NFKB1,ENSG00000109320,TF,416,-1,-6.099677054,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,Phase 1,#N/A
MUC17,ENSG00000169876,NFKB1,ENSG00000109320,TF,416,1,2.358603796,0.361032258,283.7193676,23.1,2.475822902,,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,#N/A,AntiCancerPhaseIV
MUC17,ENSG00000169876,NFKB1,ENSG00000109320,TF,416,1,2.358603796,0.361032258,283.7193676,23.1,2.475822902,,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,Phase 1,#N/A
NF1,ENSG00000196712,NFKB1,ENSG00000109320,TF,416,1,4.46190652,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,NFKB1,ENSG00000109320,TF,416,1,4.46190652,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,ADORA2B,ENSG00000170425,RegulonGene,Phase 1,#N/A
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAFB,ENSG00000204103,TF,436,-1,-2.172241043,0.812814349,381.872549,79.6713352,2.470220159,,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,THRA,ENSG00000126351,TF,4,1,-2.592200444,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
