,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,KCNH1_code_potential_somatic,ENSG00000125952,1313,1.0,1.4602388430795834,0.6383058949876683,4.830752998599309e-64,7.653075254906377,2.1558155254056306,1.0
1311,KCNH1_code_potential_somatic,ENSG00000125952,1311,1.0,1.4602388430795834,0.4344864971050772,1.2215048897877538e-26,6.9237715483251705,3.1319343917509905,1.0
2813,KCNH1_code_potential_somatic,ENSG00000277615,2813,-1.0,1.9589817781013144,0.2772612799758376,3.958051602690526e-11,-15.481047053661701,37.240857935661744,1.0
2816,KCNH1_code_potential_somatic,ENSG00000277615,2816,-1.0,1.9589817781013144,0.4503918195906806,9.920017737330212e-29,-5.763531037773297,1.8714913831179367,1.0
3267,KCNH1_code_potential_somatic,ENSG00000118922,3267,-1.0,1.5322774085668696,-0.42594184253466044,1.4623221067978944e-25,4.763696226829554,1.638230132362933,1.0
1889,KCNH1_code_potential_somatic,ENSG00000185697,1889,-1.0,1.4712609118521467,0.5169485389100075,8.969962979303061e-39,-4.315482398937275,1.4890794470739968,1.0
3099,KCNH1_code_potential_somatic,ENSG00000184486,3099,-1.0,2.3852405307279905,-0.12574766638979304,0.003191464266898947,4.071584980003779,1.3598457659490575,1.0
2158,KCNH1_code_potential_somatic,ENSG00000124766,2158,-1.0,1.6157686929605934,0.7488274069467211,1.3197331325854062e-99,-4.192385400402322,1.5117494235351518,1.0
2176,KCNH1_code_potential_somatic,ENSG00000124766,2176,-1.0,1.6157686929605934,0.2700262515880858,1.3059630031419306e-10,-3.7192483087447332,1.3926251103704563,1.0
2175,KCNH1_code_potential_somatic,ENSG00000124766,2175,-1.0,1.6157686929605934,-0.4322701954237899,2.3415405788698333e-26,5.804307794509296,1.8210768883492865,1.0
2983,KCNH1_code_potential_somatic,ENSG00000187079,2983,-1.0,1.4493935797080195,0.22134060657130464,1.6526718065336467e-07,-4.9620017742043405,1.5634611538952532,1.0
2229,KCNH1_code_potential_somatic,ENSG00000187140,2229,-1.0,2.1069356961433505,-0.2994988341326952,8.062813036915475e-13,10.366046574680587,3.7633485704609875,1.0
