,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,2.051602852089984,0.20874238187314026,8.232020140103674e-07,2.668034589267646,1.952811692220751,1.0
366,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,3.3603880649198685,0.2894018731355593,4.928790824080555e-12,-4.813302518351864,4.9624169275381025,1.0
363,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,3.3603880649198685,-0.26567493056812325,2.632663727496636e-10,2.2674537290702794,1.5338431694525794,1.0
884,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,884,1.0,1.8962672162238525,-0.21474923465985488,3.8749813925423966e-07,-2.1192855047940937,1.3847023826013256,1.0
2103,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2103,1.0,1.351797709944265,0.24667567508641092,4.856576332122605e-09,2.4502594036186127,1.710756036619694,1.0
2095,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.351797709944265,0.305855830137109,2.4855471270809603e-13,2.3484765067321365,1.6156516290762686,1.0
2706,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2706,1.0,1.4833602433822264,-0.3391613156842976,3.2231586294591895e-16,-4.26840543504257,4.055147877201039,1.0
2698,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000065970,2698,1.0,1.4833602433822264,0.3208602377292366,1.3770589688763898e-14,2.447255396652211,1.7190930165446539,1.0
234,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.5940700503836158,-0.31197279069307887,7.794265670481288e-14,-2.595168621114495,1.8801707822857636,1.0
494,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.3754222776819436,0.43361540610406846,1.5784080008314714e-26,2.5942056466098067,1.865687874983184,1.0
501,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.3754222776819436,-0.4576396817316701,1.0157288404906929e-29,-5.2380636037593185,5.893939067071543,1.0
495,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,495,1.0,1.3754222776819436,0.47866435921616984,9.952765068621691e-33,2.047102824697865,1.319581149384961,1.0
3034,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3034,1.0,1.5309145509298525,0.3450663734737405,9.08779205643241e-17,2.693572264474043,1.9688984232567772,1.0
3020,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,3020,1.0,1.5309145509298525,0.31164720712372473,8.296185808036837e-14,2.321943121106549,1.5847771266945156,1.0
3399,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,3.6807971400537753,0.12252588389376366,0.004071887528659675,-3.5506296985418686,3.1148110932791107,1.0
3398,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,3.6807971400537753,0.19005162450158916,7.473825507774001e-06,-3.8013172692545596,3.3610222725406045,1.0
693,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.8882847607055133,-0.3278619251490302,3.373042685106883e-15,-5.2380636037593185,5.893939067071543,1.0
841,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,841,1.0,2.4816387402740774,0.5383941051654617,1.643079127810912e-42,2.3889044698738195,1.656325082806194,1.0
851,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,2.4816387402740774,-0.33467030416068094,8.291506310731383e-16,-3.9614735018373017,3.713130402406134,1.0
3126,NONGENOTROPIC_ANDROGEN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,3126,1.0,1.37899164421885,0.43720630484378664,5.460383802447342e-27,2.9213451267170023,2.2217761871703217,1.0
