,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,2.350839632344216,0.20874238187314026,8.232020140103674e-07,2.360145997826255,1.6626486113018453,1.0
2200,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2200,1.0,2.350839632344216,0.4223688818818541,4.044150961655349e-25,2.1166875460497403,1.4106508567596352,1.0
2207,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2207,1.0,2.350839632344216,0.40309790760966463,7.948869748237142e-23,2.0867017024425296,1.38141690280734,1.0
2816,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000277615,2816,1.0,1.801414869067683,0.4503918195906806,9.920017737330212e-29,2.438501290375547,1.740869748492771,1.0
2604,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2604,1.0,1.868272505806961,0.4409405624406941,1.786267814487868e-27,2.2922333406538136,1.5874228751198898,1.0
2598,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2598,1.0,1.868272505806961,0.36823574612998544,4.848065539250322e-19,2.079028224900187,1.3712054828394857,1.0
2599,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2599,1.0,1.868272505806961,0.3299908698054381,2.183250779018185e-15,2.830712652870846,2.1845705744616364,1.0
366,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.8260607189620144,0.2894018731355593,4.928790824080555e-12,-4.276012247210843,4.3381526929750045,1.0
364,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,364,-1.0,2.8260607189620144,-0.29843019019556005,9.798844265767807e-13,2.254850931264211,1.557937541031959,1.0
363,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.8260607189620144,-0.26567493056812325,2.632663727496636e-10,2.354657305857652,1.658207457669575,1.0
288,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000072310,288,1.0,1.343014785470534,0.5114015136682754,7.53010353623837e-38,2.9412294134508925,2.3318200165013376,1.0
2633,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143995,2633,1.0,1.3409566697053823,0.3102047953464811,1.0928255191385607e-13,2.405222046358568,1.7111978541559791,1.0
1484,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000129194,1484,1.0,1.868272505806961,0.31388042602518906,5.3988512870859237e-14,2.9799887858036267,2.364066226487246,1.0
1494,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000129194,1494,1.0,1.868272505806961,-0.21446623581715313,4.016987531438759e-07,-3.0166443708250426,2.4754195103887846,1.0
1482,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000129194,1482,1.0,1.868272505806961,0.3566725344628204,6.970169558178879e-18,2.102874019871057,1.3953600307612606,1.0
360,SIGNALING_EVENTS_MEDIATED_BY_HEPATOCYTE_GFR_PID_NCI_NATURE_nonsilent_somatic,ENSG00000173039,360,1.0,1.457750344601005,0.36807102199041747,5.039559857223806e-19,2.015673527235978,1.312360386254543,1.0
