,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2604,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2604,1.0,1.6164901720657865,0.4409405624406941,1.786267814487868e-27,2.3967286957301153,1.7123044396899616,1.0
2598,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2598,1.0,1.6164901720657865,0.36823574612998544,4.848065539250322e-19,2.2180043988720315,1.5198499234370983,1.0
2599,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2599,1.0,1.6164901720657865,0.3299908698054381,2.183250779018185e-15,2.515280167646142,1.8444407638739375,1.0
366,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.5459369217319265,0.2894018731355593,4.928790824080555e-12,-2.8166578586398527,2.232676746483956,1.0
32,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000261678,32,-1.0,1.9815499940731005,-0.27645840978820174,4.5265870704530514e-11,2.377217263775285,1.6918399497430945,1.0
1806,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000281306,1806,1.0,1.3360922305621976,0.19046660682929223,7.1326137492965334e-06,2.336956355882983,1.649262366407457,0.3333333333333333
2957,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2957,1.0,1.5845086651968299,0.41592837948999983,2.4543388813726996e-24,2.3661995470430197,1.6814918473692126,1.0
2952,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2952,1.0,1.5845086651968299,0.6748517573892705,4.433728282902681e-74,2.742678831552225,2.1094053558439603,1.0
3318,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000091831,3318,-1.0,1.4817662013146375,-0.3783348161422657,4.3194077751375884e-20,2.1416587815928643,1.4533156645000112,1.0
3514,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105991,3514,1.0,1.3367144765826307,0.28755586192906624,6.8100213599091565e-12,2.850566305547355,2.2382758930117417,1.0
2100,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2100,1.0,1.337521339559036,0.3997436311952665,1.9251830143592888e-22,2.521353217674385,1.8608728510196617,1.0
2095,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.337521339559036,0.305855830137109,2.4855471270809603e-13,2.0871357651098985,1.3884800323958213,1.0
2098,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2098,1.0,1.337521339559036,0.38110100039835687,2.1943428122448814e-20,2.2983687017838372,1.617236027431946,1.0
2051,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,2051,1.0,1.719790816841183,-0.3056735325058917,2.571888608765702e-13,-2.973028140788043,2.4384856370541543,1.0
2037,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000054598,2037,1.0,1.719790816841183,0.3451955860347472,8.836817650693244e-17,2.021354766625456,1.3297426364410598,1.0
1484,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000129194,1484,1.0,1.6164901720657865,0.31388042602518906,5.3988512870859237e-14,2.1770436079711195,1.4808452318623975,1.0
2830,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,2830,1.0,1.6294680252388143,0.5963904193990348,4.371680359735945e-54,2.270624259222004,1.5793516574212434,1.0
